"variable_id","mz","rt","condition","polarity","mean_intensity"
"M71T824_POS",70.9803366620476,823.564788818359,0.0131965710448317,"positive",188792051.433644
"M72T823_POS",71.9874113556294,823.258514404297,0.0426345686112324,"positive",15481940.6690198
"M72T34_POS",72.0808152902304,33.8506488800049,-0.0863491825816674,"positive",4751415.56962839
"M73T36_POS",73.0284200495763,35.7731552124023,-0.00483901258768101,"positive",8695662.06872976
"M73T815_POS",73.064750047864,815.298553466797,0.0686171082412946,"positive",28559209.9812107
"M73T749_POS",73.3084581749615,748.723937988281,0.0305266994512573,"positive",52440390.2177544
"M74T765_POS",74.2208546082803,765.258392333984,0.0369848805069332,"positive",46996095.9677433
"M74T815_POS",74.2901324939562,815.197448730469,0.0718597660665801,"positive",2341982.62621705
"M75T749_POS",75.0228761295128,748.648590087891,-0.0234729287846948,"positive",998087.2359995
"M76T807_POS",76.1057949032977,806.952209472656,-0.0227143693867503,"positive",1998022.49010568
"M77T786_POS",76.856354972429,785.577087402344,-0.0485446750912131,"positive",1415702.10212458
"M77T33_POS",77.038245375723,32.846565246582,-0.125146314845162,"positive",10157691.6462451
"M78T47_POS",77.968296561652,47.0595684051514,-0.268296094220836,"positive",1789465.71152145
"M79T33_POS",79.0540724055276,33.266881942749,-0.0959712574021205,"positive",27530880.194717
"M79T817_POS",79.075271195402,817.383056640625,0.0499910964697503,"positive",38585595.9505446
"M79T556_POS",79.0752491580802,556.239013671875,0.0238142642920012,"positive",14357535.9943702
"M79T581_POS",79.0752556370418,581.452392578125,-0.0108734957923062,"positive",15659357.6183191
"M79T626_POS",79.0752537291768,626.115844726562,0.0393911439386998,"positive",13638484.7597826
"M79T655_POS",79.0752316164338,655.234008789062,0.064755412975838,"positive",8964277.24230703
"M80T814_POS",80.0494476933889,814.209167480469,0.00118901140359413,"positive",41139646.6623017
"M80T661_POS",80.0494720558568,660.564270019531,-0.0269903538774188,"positive",57169736.3022683
"M81T36_POS",81.0698845907754,36.0825119018555,0.0289162612442287,"positive",24407108.8582232
